Date,Open,High,Low,Close,Adj Close,Volume
2006-12-14,21.0,21.25,19.65,20.9,10.812446,29641866.0
2006-12-15,20.950001,21.0,19.799999,19.799999,10.24337,3114505.0
2006-12-18,19.9,19.9,19.74,19.75,10.217505,2540956.0
2006-12-19,19.700001,19.77,19.65,19.74,10.212332,3909766.0
2006-12-20,19.950001,20.209999,19.85,19.98,10.336493,1101890.0
2006-12-21,20.0,20.530001,20.0,20.530001,10.621032,319195.0
2006-12-22,21.0,21.1,20.9,20.9,10.812446,197829.0
2006-12-27,21.0,21.5,21.0,21.35,11.045252,293135.0
2006-12-28,21.35,22.049999,21.25,21.65,11.200453,209000.0
2006-12-29,21.700001,22.299999,21.693501,22.0,11.381522,209070.0
2007-01-02,22.0,22.1,21.65,22.0,11.381522,198652.0
2007-01-03,22.299999,22.299999,21.9,22.15,11.459125,380260.0
2007-01-04,22.15,23.0,22.15,23.0,11.898865,108006.0
2007-01-05,22.5,22.9,22.200001,22.9,11.847132,771600.0
2007-01-08,22.5,24.07,22.200001,22.6,11.69193,1234276.0
2007-01-09,22.6,22.6,22.4,22.450001,11.614326,1196939.0
2007-01-10,22.200001,22.5,21.85,22.0,11.381522,721153.0
2007-01-11,22.1,22.15,21.6,21.98,11.371178,588079.0
2007-01-12,22.1,22.1,16.0,21.6,11.174588,314850.0
2007-01-15,22.0,22.0,21.799999,21.889999,11.324615,0.0
2007-01-16,21.85,22.25,21.85,22.25,11.510858,485642.0
2007-01-17,22.4,22.4,21.85,22.0,11.381522,179331.0
2007-01-18,22.0,22.200001,22.0,22.0,11.381522,203250.0
2007-01-19,21.85,22.0,21.6,21.98,11.371178,154000.0
2007-01-22,22.1,22.200001,21.950001,22.200001,11.484992,121964.0
2007-01-23,22.5,22.5,22.1,22.18,11.474647,194794.0
2007-01-24,22.200001,22.5,22.200001,22.4,11.588461,79572.0
2007-01-25,22.5,22.5,22.299999,22.5,11.640195,327100.0
2007-01-26,22.25,22.799999,22.25,22.549999,11.666061,183865.0
2007-01-29,22.799999,22.799999,22.299999,22.6,11.69193,136577.0
2007-01-30,22.450001,23.0,22.450001,22.9,11.847132,445625.0
2007-01-31,23.5,24.469999,23.469999,23.6,12.209272,88690.0
2007-02-01,23.5,25.540001,23.299999,24.0,12.416208,219057.0
2007-02-02,25.299999,26.6,25.299999,25.5,13.192221,820845.0
2007-02-05,25.25,25.5,25.0,25.25,13.062886,59290.0
2007-02-06,25.25,25.5,25.25,25.4,13.140487,84124.0
2007-02-07,25.25,25.450001,24.5,25.0,12.93355,246100.0
2007-02-08,25.0,25.0,24.5,24.5,12.674878,376025.0
2007-02-09,24.5,25.0,24.5,24.51,12.680051,298417.0
2007-02-12,24.5,24.65,24.0,24.4,12.623144,576167.0
2007-02-13,24.5,25.15,24.5,25.0,12.93355,367849.0
2007-02-14,26.0,26.0,24.9,25.1,12.985285,436843.0
2007-02-15,25.15,25.75,25.049999,25.049999,12.959415,55922.0
2007-02-16,25.450001,25.5,25.4,25.5,13.192221,380742.0
2007-02-19,25.9,25.9,25.5,25.9,13.399158,68328.0
2007-02-20,25.9,26.1,25.9,26.0,13.450891,56279.0
2007-02-21,26.799999,26.799999,26.0,26.4,13.657828,158034.0
2007-02-22,26.9,26.9,26.389999,26.4,13.657828,692564.0
2007-02-23,26.299999,26.299999,26.1,26.1,13.502625,26905.0
2007-02-26,26.200001,26.299999,26.0,26.0,13.450891,1453745.0
2007-02-27,26.0,26.0,24.0,24.0,12.416208,842406.0
2007-02-28,23.5,23.6,23.25,23.25,12.028202,368654.0
2007-03-01,23.700001,23.75,22.299999,22.5,11.640195,858594.0
2007-03-02,22.700001,22.700001,22.0,22.0,11.381522,353198.0
2007-03-05,21.0,21.65,21.0,21.65,11.200453,286000.0
2007-03-06,22.1,22.25,21.799999,21.950001,11.355657,1377231.0
2007-03-07,22.0,22.0,21.75,21.75,11.252189,667177.0
2007-03-08,22.0,22.950001,22.0,22.799999,11.795397,558101.0
2007-03-09,23.5,24.0,23.49,23.65,12.235139,1082079.0
2007-03-12,23.85,46.360031,23.799999,23.799999,12.312737,333931.0
2007-03-13,24.0,24.5,23.950001,24.379999,12.612797,305059.0
2007-03-14,23.35,23.75,23.299999,23.549999,12.183403,584764.0
2007-03-15,24.0,24.0,23.5,23.549999,12.183403,151880.0
2007-03-16,23.6,23.6,22.0,23.129999,11.966121,145245.0
2007-03-20,23.1,23.1,22.9,22.9,11.847132,120.0
2007-03-21,22.1,23.0,22.1,22.85,11.821264,3629.0
2007-03-22,23.1,23.5,23.1,23.450001,12.13167,241362.0
2007-03-23,23.5,24.0,23.25,23.5,12.157536,308895.0
2007-03-26,23.5,23.5,23.5,23.5,12.157536,0.0
2007-03-27,23.0,23.15,23.0,23.15,11.976467,25000.0
2007-03-28,23.25,23.25,22.5,22.950001,11.872999,43100.0
2007-03-29,23.5,23.5,23.48,23.49,12.152363,267171.0
2007-03-30,23.5,24.0,23.49,24.0,12.416208,284273.0
2007-04-02,23.6,23.75,23.299999,23.299999,12.054069,90544.0
2007-04-03,23.4,23.4,23.35,23.4,12.105802,160425.0
2007-04-04,23.5,23.5,23.35,23.35,12.079936,0.0
2007-04-05,23.4,23.4,23.200001,23.200001,12.002334,117634.0
2007-04-10,23.4,23.75,23.1,23.6,12.209272,669752.0
2007-04-11,23.700001,23.799999,23.68,23.68,12.250658,227601.0
2007-04-12,23.6,23.6,23.6,23.6,12.209272,5000.0
2007-04-13,23.5,24.0,23.5,23.549999,12.183403,103069.0
2007-04-16,23.9,23.950001,23.700001,23.950001,12.390341,108067.0
2007-04-17,24.0,25.68,23.700001,23.9,12.364474,427347.0
2007-04-18,23.85,24.0,23.85,23.93,12.379992,24610.0
2007-04-19,23.85,24.0,23.549999,23.9,12.364474,218643.0
2007-04-20,24.0,24.0,23.85,24.0,12.416208,338936.0
2007-04-23,24.0,24.0,23.700001,23.700001,12.261005,40550.0
2007-04-24,23.700001,23.700001,23.200001,23.700001,12.261005,85201.0
2007-04-25,23.5,23.518801,23.450001,23.450001,12.13167,234334.0
2007-04-26,23.1,23.1,22.5,22.799999,11.795397,383817.0
2007-04-27,23.0,23.5,22.5,22.5,11.640195,68305.0
2007-04-30,22.0,22.799999,22.0,22.5,11.640195,288326.0
2007-05-01,22.0,22.0,22.0,22.0,11.381522,2000.0
2007-05-02,22.1,22.35,21.950001,22.35,11.562595,185218.0
2007-05-03,22.200001,22.5,22.0,22.5,11.640195,30132.0
2007-05-04,22.0,22.35,22.0,22.1,11.433259,500816.0
2007-05-08,22.0,22.0,21.450001,21.5,11.122852,475638.0
2007-05-09,22.5,22.5,21.75,21.9,11.329789,227665.0
2007-05-10,21.9,21.9,21.549999,21.809999,11.28323,695865.0
2007-05-11,21.6,21.700001,21.52,21.6,11.174588,272180.0
2007-05-14,21.700001,21.950001,21.700001,21.85,11.303923,171775.0
2007-05-15,21.700001,21.9,21.700001,21.799999,11.278054,213037.0
2007-05-16,21.85,21.9,21.85,21.9,11.329789,99650.0
2007-05-17,21.99,25.9,21.799999,21.799999,11.278054,219895.0
